,,, ,rf,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM,"AVERAGE
",,,,,,
,,,E(r),0.58%,3.30%,2.26%,2.63%,0.66%,1.09%,1.57%,1.27%,0.55%,1.79%,-0.29%,1.40%,,,,,,
,,,𝞼,0%,8.29%,11.74%,10.68%,9.68%,12.82%,10.53%,9.06%,11.29%,7.85%,5.77%,8.88%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,No.,Combination,Stock i,Stock j,Stock k,wi,wj,wk,Total,E(ri),E(rj),E(rk),𝞼i,𝞼j,𝞼k,"Cov(i,j)","Cov(i,k)","Cov(j,k)",E(rp),𝞼p,Sharpe ratio
,75,BMP-MWG-VNM,BMP,MWG,VNM,90%,5%,5%,100%,2.63%,1.09%,-0.29%,10.68%,12.82%,5.77%,0.55%,0.19%,0.26%,2.40%,9.99%,18.24%
,76,BMP-PTB-IMP,BMP,PTB,IMP,88%,7%,5%,100%,2.63%,1.57%,1.27%,10.68%,10.53%,9.06%,0.46%,0.37%,0.44%,2.49%,9.92%,19.17%
,77,BMP-PTB-MSN,BMP,PTB,MSN,88%,7%,5%,100%,2.63%,1.57%,0.55%,10.68%,10.53%,11.29%,0.46%,0.13%,0.30%,2.45%,9.82%,19.01%
,78,BMP-PTB-VCB,BMP,PTB,VCB,50%,5%,45%,100%,2.63%,1.57%,1.79%,10.68%,10.53%,7.85%,0.46%,0.22%,0.37%,2.20%,7.44%,21.73%
,79,BMP-PTB-VNM,BMP,PTB,VNM,89%,6%,5%,100%,2.63%,1.57%,-0.29%,10.68%,10.53%,5.77%,0.46%,0.19%,0.18%,2.42%,9.88%,18.56%
,80,BMP-IMP-MSN,BMP,IMP,MSN,90%,5%,5%,100%,2.63%,1.27%,0.55%,10.68%,9.06%,11.29%,0.37%,0.13%,0.29%,2.46%,9.88%,18.94%
,81,BMP-IMP-VCB,BMP,IMP,VCB,49%,5%,46%,100%,2.63%,1.27%,1.79%,10.68%,9.06%,7.85%,0.37%,0.22%,0.25%,2.18%,7.33%,21.74%
,82,BMP-IMP-VNM,BMP,IMP,VNM,90%,5%,5%,100%,2.63%,1.27%,-0.29%,10.68%,9.06%,5.77%,0.37%,0.19%,0.15%,2.41%,9.90%,18.49%
,83,BMP-MSN-VCB,BMP,MSN,VCB,50%,5%,45%,100%,2.63%,0.55%,1.79%,10.68%,11.29%,7.85%,0.13%,0.22%,0.11%,2.15%,7.25%,21.60%
,84,BMP-MSN-VNM,BMP,MSN,VNM,90%,5%,5%,100%,2.63%,0.55%,-0.29%,10.68%,11.29%,5.77%,0.13%,0.19%,0.11%,2.38%,9.79%,18.33%
,85,BMP-VCB-VNM,BMP,VCB,VNM,51%,44%,5%,100%,2.63%,1.79%,-0.29%,10.68%,7.85%,5.77%,0.22%,0.19%,0.20%,2.12%,7.32%,20.93%
,86,GAS-MWG-PTB,GAS,MWG,PTB,5%,5%,90%,100%,0.66%,1.09%,1.57%,9.68%,12.82%,10.53%,0.66%,0.65%,0.88%,1.50%,10.22%,8.99%
,87,GAS-MWG-IMP,GAS,MWG,IMP,5%,11%,84%,100%,0.66%,1.09%,1.27%,9.68%,12.82%,9.06%,0.66%,0.34%,0.41%,1.22%,8.45%,7.54%
,88,GAS-MWG-MSN,GAS,MWG,MSN,5%,90%,5%,100%,0.66%,1.09%,0.55%,9.68%,12.82%,11.29%,0.66%,0.31%,0.54%,1.04%,12.02%,3.82%
,89,GAS-MWG-VCB,GAS,MWG,VCB,5%,5%,90%,100%,0.66%,1.09%,1.79%,9.68%,12.82%,7.85%,0.66%,0.42%,0.34%,1.70%,7.60%,14.74%
